,User_Name,User_Screen_Name,Text,ID,Retweet_Count,Favorite_Count,User_ID,Language,Date,Sentiment
2533,Rebeca◟̽◞̽,paynexdrew,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316093171920900,3435,0,3240455871,en,20,0.5994
2534,Tonny // Positions deluxe,tonny_positions,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316088415584260,3435,0,1274344209349332999,en,20,0.5994
2535,💔🥀,LilXan_bieber,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316081331372041,3435,0,1296351127,en,20,0.5994
2536,ᴀɴɴɪᴇ🍑,HoldOnToDrew,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316075958505473,3435,0,1703410021,en,20,0.5994
2537,Sidnaaz tweets❤️,ruchita2001,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316062784069634,3435,0,1065789216,en,20,0.5994
2538,Cecilia Buika 💜,ceciliaabiebs,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316060787671044,3435,0,939616441246081024,en,20,0.5994
2539,₩an 💚✊💚,Waan_Dani_GG,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316049769263105,3435,0,3002520253,en,20,0.5994
2540,mavi 🅴 ✞,drewbaIdwin,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316049471467522,3435,0,1152660114517757952,en,20,0.5994
2541,sindy DWTD 🦋,DEMlSRARE,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316047739219974,3435,0,1027019879675772929,en,20,0.5994
2542,ℳ 𝕚𝕤 𝕤𝕥𝕣𝕖𝕒𝕞𝕚𝕟𝕘 𝕛𝕦𝕤𝕥𝕚𝕔𝕖 ♫,ghostinnbiebs,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316038855684096,3435,0,1249004593515724801,en,20,0.5994
2543,Jo 🥤,drewshwn,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316038532665349,3435,0,907657917238738944,en,20,0.5994
